frame,timestamp,src_mac,format,channel_width_mhz,num_rx,num_tx,num_subcarriers,rssi1,rssi2,csi_data_size,rate_n_flag
333,0,22:6e:45:de:34:20,HT,20,2,1,56,74,75,448,49666
334,0,22:6e:45:de:34:20,HT,20,2,1,56,76,77,448,49667
335,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,68,69,448,49671
336,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,69,68,448,49669
337,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,69,68,448,49671
338,0,22:6e:45:de:34:20,HT,20,2,1,56,76,76,448,49666
339,0,22:6e:45:de:34:20,HT,20,2,1,56,76,78,448,49667
340,0,22:6e:45:de:34:20,HT,20,2,1,56,76,76,448,49668
341,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49667
342,0,22:6e:45:de:34:20,HT,20,2,1,56,75,74,448,49666
343,0,22:6e:45:de:34:20,HT,20,2,1,56,76,75,448,49666
344,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49667
345,0,22:6e:45:de:34:20,HT,20,2,1,56,76,75,448,49667
346,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49666
347,0,22:6e:45:de:34:20,HT,20,2,1,56,77,75,448,49667
348,0,22:6e:45:de:34:20,HT,20,2,1,56,76,74,448,49666
349,0,22:6e:45:de:34:20,HT,20,2,1,56,77,76,448,49667
350,0,22:6e:45:de:34:20,HT,20,2,1,56,76,76,448,49666
351,0,22:6e:45:de:34:20,HT,20,2,1,56,76,77,448,49667
352,0,22:6e:45:de:34:20,HT,20,2,1,56,74,78,448,49667
353,0,22:6e:45:de:34:20,HT,20,2,1,56,73,77,448,49666
354,0,22:6e:45:de:34:20,HT,20,2,1,56,73,77,448,49666
355,0,22:6e:45:de:34:20,HT,20,2,1,56,73,77,448,49667
356,0,22:6e:45:de:34:20,HT,20,2,1,56,73,76,448,49666
357,0,22:6e:45:de:34:20,HT,20,2,1,56,74,80,448,49666
358,0,22:6e:45:de:34:20,HT,20,2,1,56,74,77,448,49667
